page_likes,page_interaction,page_category,tot_no_comments_bef,no_comments_24h,no_comments_48_24h,no_comments_24h_after_pub,delta_48_24h,character_count_post,no_shares_post,day_posted,current_day,has_new_comments,ID
3337470,11736,40,0,0,0,0,0,389,47,FRIDAY,FRIDAY,NA,P10001
1576517,33793,14,11,11,0,11,11,126,155,SATURDAY,SATURDAY,NA,P10002
2415071,57857,9,87,87,0,87,87,223,149,FRIDAY,FRIDAY,NA,P10003
78923,25345,24,35,35,0,35,35,103,1,SUNDAY,SUNDAY,NA,P10004
10039,1151,56,0,0,0,0,0,46,11,THURSDAY,FRIDAY,NA,P10005
5970921,234501,9,21,21,0,21,21,263,146,SATURDAY,SATURDAY,NA,P10006
1552629,64641,9,840,98,742,811,-644,212,1146,THURSDAY,FRIDAY,NA,P10007
4290409,131422,9,89,3,12,82,-9,92,95,FRIDAY,MONDAY,NA,P10008
135564,23,55,0,0,0,0,0,5,1,WEDNESDAY,THURSDAY,NA,P10009
867486,21963,4,1,1,0,0,1,117,1,SATURDAY,SUNDAY,NA,P10010
22042113,1207173,9,32,8,24,31,-16,164,23,WEDNESDAY,FRIDAY,NA,P10011
441554,60660,4,57,57,0,57,57,89,14,THURSDAY,FRIDAY,NA,P10012
2156275,47233,9,39,39,0,39,39,67,62,TUESDAY,TUESDAY,NA,P10013
28379,1283,32,2,1,1,1,0,0,1,SATURDAY,MONDAY,NA,P10014
6887,20,19,0,0,0,0,0,0,1,MONDAY,TUESDAY,NA,P10015
965964,11631,9,9,0,1,8,-1,95,66,SUNDAY,WEDNESDAY,NA,P10016
13742,66,17,0,0,0,0,0,108,1,THURSDAY,THURSDAY,NA,P10017
81756,2947,36,22,1,3,18,-2,0,81,THURSDAY,SUNDAY,NA,P10018
4488,124,40,2,2,0,2,2,584,19,MONDAY,MONDAY,NA,P10019
115804,22,46,8,8,0,8,8,6,41,THURSDAY,FRIDAY,NA,P10020
292911,25073,24,73,73,0,73,73,89,23,THURSDAY,FRIDAY,NA,P10021
8189,33,23,0,0,0,0,0,0,1,WEDNESDAY,THURSDAY,NA,P10022
1959278,12641,18,39,39,0,39,39,109,450,TUESDAY,WEDNESDAY,NA,P10023
4290409,131422,9,155,25,130,136,-105,88,70,THURSDAY,SATURDAY,NA,P10024
165002,25302,36,6,4,2,6,2,25,55,TUESDAY,WEDNESDAY,NA,P10025
9774,2397,16,0,0,0,0,0,35,1,WEDNESDAY,FRIDAY,NA,P10026
41320,90,27,5,5,0,5,5,817,1,MONDAY,MONDAY,NA,P10027
83215,12259,18,12,12,0,12,12,477,5,TUESDAY,TUESDAY,NA,P10028
3150,5,80,2,0,2,2,-2,74,4,FRIDAY,SUNDAY,NA,P10029
555304,599,47,0,0,0,0,0,40,2,THURSDAY,SATURDAY,NA,P10030
